2025-11-05 14:23:48,924 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:23:49,211 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:49,221 |     INFO | main.py:83 | 📄 Extracted Fields for sc_05.jpeg: {}
2025-11-05 14:23:49,221 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:49,222 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:49,222 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:49,223 |     INFO | main.py:111 | ✅ Extraction successful for sc_05.jpeg (category: screenshots)
2025-11-05 14:23:49,273 |     INFO | main.py:124 | ✅ Extraction completed! Results saved to results/csv\ocr_results.csv
2025-11-05 14:23:49,303 |    ERROR | main.py:130 | Error during data export: table ocr_results has no column named Doc_Type
2025-11-05 14:23:49,303 | CRITICAL | main.py:136 | Critical error in batch processing: table ocr_results has no column named Doc_Type
2025-11-05 14:23:49,304 | CRITICAL | main.py:167 | Unexpected error: table ocr_results has no column named Doc_Type
